epoch,train_mse,val_mse
1,3.2918322682380676,2.696897546450297
2,2.199254125356674,1.246362994114558
3,0.7547908201813698,0.3523341864347458
4,0.3878998514264822,0.22181681543588638
5,0.28229212667793036,0.20476474364598593
6,0.2662458522245288,0.1945177142818769
7,0.2640107236802578,0.18813136344154677
8,0.2738357223570347,0.18588577335079512
9,0.24806614685803652,0.18110504870613417
10,0.24965647794306278,0.17270416766405106
11,0.2304849848151207,0.16670407727360725
12,0.23935917671769857,0.16298331692814827
13,0.22880137152969837,0.16177793592214584
14,0.2293761381879449,0.16075507054726282
15,0.22638523112982512,0.16033620635668436
16,0.2239229716360569,0.1590773897866408
17,0.2040733154863119,0.1608197328945001
18,0.21964521426707506,0.1547271932164828
19,0.2239909153431654,0.15496411671241125
20,0.22176049137488008,0.15500464538733164
21,0.2185805244371295,0.15221862184504667
22,0.21014533750712872,0.15349321688214937
23,0.19960204232484102,0.1533274675408999
24,0.20349080674350262,0.14968321596582732
25,0.21365114767104387,0.1520708700021108
26,0.21600984502583742,0.15109298129876456
27,0.19818649254739285,0.15129384770989418
28,0.20529033709317446,0.14895115047693253
29,0.19035671930760145,0.14919443925221762
30,0.18524803733453155,0.14914328729112944
31,0.1883169785141945,0.14545956129829088
32,0.18970210291445255,0.15035075321793556
33,0.18313653767108917,0.14631643642981848
34,0.19183308584615588,0.15158390998840332
35,0.1899690879508853,0.1463466746111711
36,0.2043309509754181,0.14365357160568237
37,0.1852457858622074,0.14409284045298895
38,0.18680677749216557,0.14312630519270897
39,0.18100593518465757,0.14569664125641188
40,0.18242899142205715,0.14679406707485518
41,0.19288435857743025,0.14211339006821314
42,0.17985972296446562,0.1415002979338169
43,0.18769912794232368,0.14388484880328178
44,0.18164141941815615,0.14672328407565752
45,0.1797223798930645,0.13964766760667166
46,0.17346694227308035,0.1413159022728602
47,0.176052987575531,0.13836735486984253
48,0.1748030474409461,0.13914121935764948
49,0.1683988249860704,0.13992452869812647
50,0.17402768786996603,0.1382307962824901
