model,RMSE_all_outputs,MAE_all_outputs,Perfect_Match_Accuracy_pm_0.2,RMSE_finger_1,MAE_finger_1,RMSE_finger_2,MAE_finger_2,RMSE_finger_3,MAE_finger_3,RMSE_finger_4,MAE_finger_4,RMSE_finger_5,MAE_finger_5
Tabular Only MLP,0.3770662844181061,0.2952478528022766,0.030864197530864196,0.49166664481163025,0.39587363600730896,0.446798712015152,0.36691486835479736,0.398897647857666,0.3265538513660431,0.25396135449409485,0.2088421881198883,0.21427570283412933,0.17805464565753937
Late Fusion ResNet-18,0.3706393241882324,0.287384957075119,0.012345679012345678,0.4749053418636322,0.3822481632232666,0.4158339500427246,0.33546507358551025,0.4159143567085266,0.3291863203048706,0.27166610956192017,0.221669539809227,0.20402774214744568,0.168355792760849
